Tipo/Tipo de transacción,Descripción del cargo,Número de referencia,Fecha de check-in,Fecha de check-out,Fecha de emisión,Estado de la reserva,Habitaciones,Noches,ID del alojamiento,Nombre del alojamiento,ID legal,Nombre legal,País,Tipo de pago,Importe bruto,Comisión,Comisión %,Cargo por servicio de los pagos,Porcentaje del cargo por servicio de los pagos,IVA,Impuestos,Importe de la transacción,Moneda de la transacción,Tipo de cambio,Importe a pagar,Importe del pago,Moneda del pago,Fecha del pago,Frecuencia del pago,Cuenta bancaria,Proveedor de servicios de pago
(Payout),N6XqLBjdKCdFyJwa,-,-,-,-,-,-,-,13355074,"Victoria Studio II",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,-,-,-,-,-,-,-,-,-,-,920.46,920.46,EUR,2026-06-04,Semanal,*2632,Booking.com B.V.
Reserva,N6XqLBjdKCdFyJwa,6184346221,2026-05-30,2026-06-03,2026-06-03,OK,1,4,13355074,"Victoria Studio II",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,800.25,-136.04,17.00%,-10.40,1.30%,-30.75,0.00,623.06,EUR,1.00,623.06,-,EUR,2026-06-04,Semanal,*2632,Booking.com B.V.
Reserva,N6XqLBjdKCdFyJwa,6860869540,2026-05-27,2026-05-30,2026-05-30,OK,1,3,13355074,"Victoria Studio II",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,381.99,-64.94,17.00%,-4.97,1.30%,-14.68,0.00,297.40,EUR,1.00,297.40,-,EUR,2026-06-04,Semanal,*2632,Booking.com B.V.
(Payout),hT4WivWtvbzk0wbh,-,-,-,-,-,-,-,13353237,"Victoria Studio I",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,-,-,-,-,-,-,-,-,-,-,493.97,493.97,EUR,2026-06-04,Semanal,*2632,Booking.com B.V.
Reserva,hT4WivWtvbzk0wbh,6145470103,2026-05-30,2026-06-01,2026-06-01,OK,1,2,13353237,"Victoria Studio I",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,360.36,-61.26,17.00%,-4.68,1.30%,-13.84,0.00,280.58,EUR,1.00,280.58,-,EUR,2026-06-04,Semanal,*2632,Booking.com B.V.
Reserva,hT4WivWtvbzk0wbh,6468225344,2026-05-29,2026-05-30,2026-05-30,OK,1,1,13353237,"Victoria Studio I",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,122.31,-20.79,17.00%,-1.59,1.30%,-4.70,0.00,95.23,EUR,1.00,95.23,-,EUR,2026-06-04,Semanal,*2632,Booking.com B.V.
Reserva,hT4WivWtvbzk0wbh,5630509691,2026-06-02,2026-06-03,2026-06-03,OK,1,1,13353237,"Victoria Studio I",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,151.76,-25.80,17.00%,-1.97,1.30%,-5.83,0.00,118.16,EUR,1.00,118.16,-,EUR,2026-06-04,Semanal,*2632,Booking.com B.V.
(Payout),JlA1RYJvk1l6EANf,-,-,-,-,-,-,-,13776103,"Piso a pocos pasos del Retiro",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,-,-,-,-,-,-,-,-,-,-,829.75,829.75,EUR,2026-06-04,Semanal,*2632,Booking.com B.V.
Reserva,JlA1RYJvk1l6EANf,6257346831,2026-05-31,2026-06-03,2026-06-03,OK,1,3,13776103,"Piso a pocos pasos del Retiro",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,341.86,-58.12,17.00%,-4.44,1.30%,-13.14,0.00,266.16,EUR,1.00,266.16,-,EUR,2026-06-04,Semanal,*2632,Booking.com B.V.
Reserva,JlA1RYJvk1l6EANf,6058474068,2026-05-27,2026-05-29,2026-05-29,OK,1,2,13776103,"Piso a pocos pasos del Retiro",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,244.62,-41.59,17.00%,-3.18,1.30%,-9.40,0.00,190.45,EUR,1.00,190.45,-,EUR,2026-06-04,Semanal,*2632,Booking.com B.V.
